place_slug,contract_no,contract_title,department_code,prime_contractor,agreed_usd,paid_usd,match_evidence
zuckerberg-sf-general-hospital,1000002767,SFGH BED MAINTENANCE - NEW HOS,DPH,HILL-ROM COMPANY INC,1402216,470557.8,SFGH
zuckerberg-sf-general-hospital,1000002817,ZSFGH-SECURE SHARPS WASTE MANA,DPH,DANIELS SHARPSMART INC,768768,468726.96,ZSFG
zuckerberg-sf-general-hospital,1000002774,SFGH CLINTEGRITY S/W LICENSE,AIR,NUANCE COMMUNICATIONS INC,5105957,411326.6,SFGH
zuckerberg-sf-general-hospital,1000010358,Maint. Pumps SFGH See notepad,DPH,BAXTER HEALTHCARE CORP,389273,391779.78,SFGH
zuckerberg-sf-general-hospital,1000029106,DPH -NURSE CALL ZSFG,DPH,COMTEL SYSTEMS TECHNOLOGY INC,1074315,366068.81,ZSFG
zuckerberg-sf-general-hospital,1000020687,DPH SFGH PATIENT EXPERIENCE,DPH,MDM COMMERCIAL ENTERPRISES INC,344543,343750.79,SFGH
zuckerberg-sf-general-hospital,1000024695,DPH -NURSE CALL ZSFG & LHH,DPH,COMTEL SYSTEMS TECHNOLOGY INC,393854,317138.88,ZSFG
zuckerberg-sf-general-hospital,1000003734,512MDL 100291 SFGH TRAUMA CTR,TIS,WORLD WIDE TECHNOLOGY LLC,3873485,296327.16,SFGH
zuckerberg-sf-general-hospital,1000025197,DPH SFGH PATIENT EXPERIENCE,DPH,MDM COMMERCIAL ENTERPRISES INC,291963,291963.24,SFGH
zuckerberg-sf-general-hospital,1000002706,MEDICAL TRANSPORT FOR SFGH,DPH,SEMAX ENTERPRISES,361340,239880,SFGH
zuckerberg-sf-general-hospital,1000002695,UC-SFGH PROSTHETICS & ORTHOTIC,DPH,REGENTS OF THE UNIVERSITY OF CALIFORNIA,4320000,232230.53,SFGH
zuckerberg-sf-general-hospital,1000002762,SFGH PATIENT EXPERIENCE,AIR,MDM COMMERCIAL ENTERPRISES INC,3813286,224659.84,SFGH
zuckerberg-sf-general-hospital,1000018496,DPH Main Agreement @ ZSFGH,DPH,KONICA MINOLTA BUSINESS SOLUTNS USA INC,8097600,183142.93,ZSFG
zuckerberg-sf-general-hospital,1000002885,"ANSWERING SERVICE, PHONE-ZSFG",ADM,NEW CONNECTIONS COMMUNICATION SVCS INC,190000,159745.49,ZSFG
zuckerberg-sf-general-hospital,1000025011,ZSFGH -EVS Uniform&Access.,ADM,BANNER UNIFORM CENTER,220000,154313.71,ZSFG
zuckerberg-sf-general-hospital,1000002716,UC-SFGH MATERNITY CARE,DPH,REGENTS OF THE UNIVERSITY OF CALIFORNIA,608905,153423.22,SFGH
zuckerberg-sf-general-hospital,1000000903,PW SFGH MOD Bldg 3 Ramp Access,DPW,FONTENOY ENGINEERING INC,457481.081,147290.91,SFGH
zuckerberg-sf-general-hospital,1000007398,PW SFGH FF&E Mgmt Prof Svcs,DPW,RADIXOS LLC,117764.1,130840.72,SFGH
zuckerberg-sf-general-hospital,1000000867,PW Exec CM Svcs SFGH Rebuild,DPW,JACOBS PROJECT MANAGEMENT CO,14142453.889,127191.42,SFGH
zuckerberg-sf-general-hospital,1000000873,PW SFGH EngSvcsNonStruct Refit,DPW,RUTHERFORD & CHEKENE CONSULTING ENGINEER,774700,116100,SFGH
zuckerberg-sf-general-hospital,1000013203,COPY SMART MFD ZSFGH,DPH,KONICA MINOLTA BUSINESS SOLUTNS USA INC,208200,95501.43,ZSFG
zuckerberg-sf-general-hospital,1000002758,SFGH S/W LICENSE FOR IBE & GUA,DPH,PHILIPS HEALTHCARE,371272,94393.17,SFGH
zuckerberg-sf-general-hospital,1000020776,SFGH NFS UNIFORMS & ACCS,DPH,BANNER UNIFORM CENTER,2500000,93125.17,SFGH
zuckerberg-sf-general-hospital,1000035458,TC60553 SFGH Optician Services,ADM,JACK H SINOW,270000,93033.27,SFGH
zuckerberg-sf-general-hospital,1000021750,Maternity services at ZSFG,DPH,REGENTS OF THE UNIVERSITY OF CALIFORNIA,330400,90420.73,ZSFG
zuckerberg-sf-general-hospital,1000009665,ZSFGH KONICA,DPH,KONICA MINOLTA BUSINESS SOLUTNS USA INC,193330.1,88383.06,ZSFG
zuckerberg-sf-general-hospital,1000007218,Soft. Maint QS1 at ZSFG Outpat,DPH,J M SMITH CORPORATION,491544,84483.09,ZSFG
zuckerberg-sf-general-hospital,1000000872,PW IH & Enviro SFGH Rebuild,DPW,SCA ENVIRONMENTAL INC,1497160.286,76362.66,SFGH
zuckerberg-sf-general-hospital,1000018311,Soft. Maint for ZSFGH,DPH,"RedSail Technologies, LLC",368138.97,76352.37,ZSFG
zuckerberg-sf-general-hospital,1000007536,Recruitment- ZSFG ED Director,DPH,Berkeley Search Consultants,84000,72107.79,ZSFG
zuckerberg-sf-general-hospital,1000011890,ZSFGH KONICA MFD,DPH,KONICA MINOLTA BUSINESS SOLUTNS USA INC,172500.43,67359.61,ZSFG
zuckerberg-sf-general-hospital,1000002766,DPH SFGH CATALYST S/W STAFF,DPH,CATALYST SYSTEMS LLC,593172,58095.65,SFGH
zuckerberg-sf-general-hospital,1000002731,APHERESIS SERVICES FOR SFGH,AIR,NOR CAL APHERESIS,972000,57827.5,SFGH
zuckerberg-sf-general-hospital,1000010224,ZSFGH KONICA MFD,DPH,KONICA MINOLTA BUSINESS SOLUTNS USA INC,147490.04,55030.24,ZSFG
zuckerberg-sf-general-hospital,1000010891,ZSFGH KONIKA MFD HC'S PART 2,DPH,KONICA MINOLTA BUSINESS SOLUTNS USA INC,136439.18,54127.21,ZSFG
zuckerberg-sf-general-hospital,1000014076,UC-SFGH Perinatal Consultation,DPH,REGNTS OF UC ON BHLF OF UCSF MED CTR/GRP,91222,52314.64,SFGH
zuckerberg-sf-general-hospital,1000010426,Ready Made Foods for ZSFG & LHH Food Services,DPH,FRESH & READY FOODS LLC,50000,49979.54,ZSFG
zuckerberg-sf-general-hospital,1000000902,PW SFGH Plant Svcs Bldg NPC 4,DPW,ANGOTTI & REILLY INC,1421708.95,30790.24,SFGH
zuckerberg-sf-general-hospital,1000000923,PW ZSFG Voice & Data Comm,DPW,WPCS INTERNATIONAL - SUISUN CITY OPS,143120.37,14970.74,ZSFG
zuckerberg-sf-general-hospital,1000008025,COPIER FOR MIS AT SFGH,DPH,KONICA MINOLTA BUSINESS SOLUTNS USA INC,10000,10083.09,SFGH
zuckerberg-sf-general-hospital,1000002726,UC-SFGH PERINATAL CONSULTATION,DPH,REGNTS OF UC ON BHLF OF UCSF MED CTR/GRP,67449.25,9806,SFGH
zuckerberg-sf-general-hospital,1000002682,48-MONTH LEASE FOR ZSFGH - 995,AIR,KONICA MINOLTA BUSINESS SOLUTNS USA INC,16000,9222.46,ZSFG
zuckerberg-sf-general-hospital,1000022945,UC-SFGH Pediatric Educational,DPH,REGNTS OF UC ON BHLF OF UCSF MED CTR/GRP,8400,2500,SFGH
zuckerberg-sf-general-hospital,1000002683,36-MONTH LEASE FOR ZSFGH - 995,DPH,KONICA MINOLTA BUSINESS SOLUTNS USA INC,1600,1358.28,ZSFG
zuckerberg-sf-general-hospital,1000000870,PW SFGH MTSI Svcs 2012,DPW,ISI-APEX JOINT VENTURE,8693363,1160,SFGH
zuckerberg-sf-general-hospital,1000018333,Meats for LHH and ZSFGH,ADM,Daylight Foods,500000,205.41,ZSFG
zuckerberg-sf-general-hospital,1000002757,SFGH IMO S/W LICENSE & MAINTEN,AIR,INTELLIGENT MEDICAL OBJECTS INC,165750,0,SFGH
zuckerberg-sf-general-hospital,1000002711,SFGH WATCHCHILD SYSTEM,AIR,HILL-ROM COMPANY INC,1900000,0,SFGH
zuckerberg-sf-general-hospital,1000032845,PW ZSFG Chlr Rplmt Prj MGAC,DPW,MGAC,2671000,0,ZSFG
zuckerberg-sf-general-hospital,1000037295,DPH - Laundry LHH and ZSFG,ADM,"EMERALD TEXTILE SERVICES, NORCAL, LLC",7000000,0,ZSFG
zuckerberg-sf-general-hospital,1000035417,TC70381C DPH ZSFGH Switchbrd,ADM,Rexel Usa Inc,1354974,0,ZSFG
zuckerberg-sf-general-hospital,1000001128,6694A SFGH REBUILD CM/GC FORMA,DPW,WEBCOR BUILDERS,703559366.32,0,SFGH
zuckerberg-sf-general-hospital,1000000868,PW A&E Dsgn SFGH Rebld Fnl2009,DPW,FONG & CHAN ARCHITECTS,36650542.986,0,SFGH
zuckerberg-sf-general-hospital,1000000696,PW SFGH FF&E Mgmt Prof Svcs,DPW,RADIXOS LLC,3469151,0,SFGH
zuckerberg-sf-general-hospital,1000000911,PW SFGH Svc Bldg Ldscp mLBE,DPW,CAPAX GROUP INC,242671.28,0,SFGH
zuckerberg-sf-general-hospital,1000037762,PW ZSFG BLD 5 INPTNT ADLSCNT,DPW,RODAN BUILDERS INC,4857761.98,0,ZSFG
zuckerberg-sf-general-hospital,1000038010,PW ZSFG BLDG 5 CARGO ELV MDRN,DPW,W.E. LYONS CONSTRUCTION CO.,500289,0,ZSFG
zuckerberg-sf-general-hospital,1000002765,SFGH REBUILD IT SUPPORT,DPH,CERNER HEALTH SERVICES INC,9900000,0,SFGH
zuckerberg-sf-general-hospital,1000002707,MEDICAL TRANSPORT FOR SFGH,DPH,TRANSMETRO INC,185000,0,SFGH
zuckerberg-sf-general-hospital,1000002705,MEDICAL TRANSPORT FOR SFGH,DPH,BAYMED EXPRESS,349460,0,SFGH
