side,character_code,source_label,gloss,display_category,provenance,enriched_at
Spending,ELU,Transfer Adjustment - Uses,"The negative adjustment that cancels inter- and intra-fund transfers so the citywide total counts each dollar once.",adjustment,manual_in_session,2026-07-16
Spending,999985,GFSUP GENERAL FUND SUPPORT,"Legacy placeholder for General Fund support (zero-value skeleton rows from the FY2018 system migration).",standard,manual_in_session,2026-07-16
Revenue,CHGS_FOR_SERVICES,Charges for Services,"Fees charged for services — dominated by the City's enterprises billing their customers: hospital care billed to insurers and Medi-Cal, airport charges to airlines, water and sewer bills. Not primarily fees on residents.",standard,manual_in_session,2026-07-16
Revenue,PROP_TAX,Property Taxes,"The City's share of the 1% property tax on assessed value, plus voter-approved add-ons.",standard,manual_in_session,2026-07-16
Revenue,BUS_TAX,Business Taxes,"Taxes on business activity: gross receipts tax, homelessness gross receipts tax, business registration fees.",standard,manual_in_session,2026-07-16
Revenue,OTHER_LOC_TAX,Other Local Taxes,"Local taxes other than property and business taxes: the City's sales-tax share, hotel tax, real-estate transfer tax, parking tax, utility users tax.",standard,manual_in_session,2026-07-16
Revenue,INTERGOV_REV_ST,Intergovernmental: State,"Money from the State of California: health and social-services realignment funds and program reimbursements.",standard,manual_in_session,2026-07-16
Revenue,INTER_REV_FED,Intergovernmental: Federal,"Federal money: Medicaid and Medicare reimbursements plus federal grants for housing, transit and emergencies.",standard,manual_in_session,2026-07-16
Revenue,INTERGOV_REV_OTH,Intergovernmental: Other,"Money from other governments — regional agencies, other counties and special districts.",standard,manual_in_session,2026-07-16
Revenue,RENTS_CONCESSIONS,Rents & Concessions,"Rent and concession income from City property: airport concessions, port leases, facility rentals.",standard,manual_in_session,2026-07-16
Revenue,INT_INV_INC,Interest & Investment Income,"Earnings on the City's cash and investment pools.",standard,manual_in_session,2026-07-16
Revenue,FINE_FORF_PENAL,"Fines, Forfeiture, & Penalties","Parking and traffic fines, court penalties, code-enforcement fines.",standard,manual_in_session,2026-07-16
Revenue,LIC_PERM_FRAN,"Licenses, Permits,& Franchises","Business licenses, construction and use permits, franchise fees from utilities.",standard,manual_in_session,2026-07-16
Revenue,CONTRIB_RET_HSS_HLTH,Contributions Ret/HSS/HlthCare,"Employee and employer contributions flowing into the retirement and health-benefit systems.",standard,manual_in_session,2026-07-16
Revenue,OTH_REV,Other Revenues,"Revenue that fits no other category — settlements, donations, miscellaneous income.",standard,manual_in_session,2026-07-16
Revenue,OTH_FIN_SRCS,Other Financing Sources,"Financing inflows: bond and loan proceeds, proceeds from asset sales.",standard,manual_in_session,2026-07-16
Revenue,UNAPP_FD_BAL,Unappropriated Fund Balance,"Prior-year fund balance brought into the budget as a source of funding.",standard,manual_in_session,2026-07-16
Revenue,OPER_TFR_IN,Transfers In,"Money received from another City fund — the receiving side of fund-to-fund transfers. Cancelled citywide by the transfer adjustment.",standard,manual_in_session,2026-07-16
Revenue,TFR_IN_CAP_EXP,Transfer In-Capital Expenditur,"Transfers in earmarked for capital spending.",standard,manual_in_session,2026-07-16
Revenue,CAP_CONTR_OTHER,Capital Contributions-Others,"Capital contributed by outside parties toward City assets.",standard,manual_in_session,2026-07-16
Revenue,EXTRA_ITEM_GAIN,Extraordinary Items-Gain,"One-off extraordinary accounting gains.",standard,manual_in_session,2026-07-16
Revenue,CONVRSN_REV_ACCTS,Conversion Revenue Accts,"Technical accounts from the financial-system conversion (zero-value skeleton rows).",standard,manual_in_session,2026-07-16
Revenue,INTRAFD_TFR_IN,IntraFund Transfers In,"Accounting transfers between accounts inside the same fund — internal mechanics, not money coming in from outside.",internal,manual_in_session,2026-07-16
Revenue,EXP_RECOVERY,Expenditure Recovery,"One department recovering its costs from another — internal billing income, the mirror of 'Services of Other Depts' on the spending side.",internal,manual_in_session,2026-07-16
Revenue,ELS,Transfer Adjustment-Source,"The negative adjustment on the revenue side that cancels inter- and intra-fund transfers so the citywide total counts each dollar once.",adjustment,manual_in_session,2026-07-16
