beneficiaire_normalise,ode_thematique,ode_sous_categorie,ode_confiance,ode_date_recherche,ode_source
ASS 13 POUR TOUS,Social - Solidarité,Animation locale et lien social,0.95,2026-04-20,llm_gemini
ASS AU RENDEZ VOUS BOUT'CHOU,Social - Petite enfance,Structure d'accueil petite enfance,1.0,2026-04-20,llm_gemini
ASS AUTREMONDE,Social - Solidarité,Insertion sociale et solidarité (association Autremonde),0.9,2026-02-18,llm_claude
ASS AYYEM ZAMEN,Social - Solidarité,Aide aux personnes âgées immigrées,1.0,2026-04-20,llm_gemini
ASS CAFEZOIDE,Social - Petite enfance,Espace de jeux et parentalité (Café des enfants),0.95,2026-04-20,llm_gemini
ASS CRECHE GAN ESTHER,Social - Petite enfance,Crèche,1.0,2026-04-20,llm_gemini
ASS DEPARTEMENTALE INFORMATION LOGE,Logement,Information et conseil sur le logement (ADIL),1.0,2026-04-20,llm_gemini
ASS DES CINEMAS INDEPENDANTS,Culture,Cinéma indépendant,1.0,2026-04-20,llm_gemini
ASS DES CITES DU SECOURS CATHOLIQUE,Social - Solidarité,Hébergement d'urgence et insertion,1.0,2026-04-20,llm_gemini
ASS DROIT A L INITIATIVE ECONOMIQUE,Économie,Microfinance et insertion économique,1.0,2026-04-20,llm_gemini
ASS ECOLE SCHOOL FOR TODAY,Éducation,Enseignement et pédagogie,0.95,2026-04-20,llm_gemini
ASS FLORIMONT,Social - Solidarité,Association d'aide sociale / hébergement,0.5,2026-02-18,llm_claude
ASS FONDATION ETUDIANTE POUR LA VIL,Social - Solidarité,Fondation Étudiante pour la Ville (AFEV) - accompagnement solidaire,0.92,2026-02-18,llm_claude
ASS GAN YAEL CRECHE JARDIN ENF,Social - Petite enfance,Crèche et jardin d'enfants,0.98,2026-02-18,llm_claude
ASS GAN YOSSEF CR JARDIN D ENFANTS,Social - Petite enfance,Jardin d'enfants,1.0,2026-04-20,llm_gemini
ASS GAN YOSSEF CRECHE JARDIN D ENFA,Social - Petite enfance,Crèche et jardin d'enfants,1.0,2026-04-20,llm_gemini
ASS GENERALE DES FAMILLES,Social - Petite enfance,Soutien à la parentalité et aux familles,0.95,2026-04-20,llm_gemini
ASS GESTION CENTRE ANIMATION CULTUR,Culture,Gestion de centre d'animation socioculturelle,0.95,2026-04-20,llm_gemini
ASS GESTION RESEAU MESUR POLLUT ATM,Environnement,Surveillance de la qualité de l'air (Airparif),1.0,2026-04-20,llm_gemini
ASS INITIAT RENC ET SOLID 10,Social - Solidarité,"Association d'initiatives, rencontres et solidarité du 10e arrondissement",0.8,2026-02-18,llm_claude
ASS INTERNATIONALE MAIRES FRANCOPHO,International,Coopération francophone,1.0,2026-04-20,llm_gemini
ASS JUDO AMICALE PARIS XX,Sport,Club de judo,1.0,2026-04-20,llm_gemini
ASS L INST D ETUDES AVANCEES - PARI,Éducation,Recherche et études supérieures,1.0,2026-04-20,llm_gemini
ASS L INST D ETUDES AVANCEES PARI,Éducation,Recherche - Institut d'Études Avancées de Paris,0.93,2026-02-18,llm_claude
ASS LA PASSERELLE,Social - Solidarité,Accompagnement et insertion sociale,0.7,2026-02-18,llm_claude
ASS LE DAUPHIN BLEU,Social - Petite enfance,Structure d'accueil petite enfance,0.75,2026-02-18,llm_claude
ASS LES AMIS DU BUS DES FEMMES,Social - Solidarité,Aide aux femmes et prévention,1.0,2026-04-20,llm_gemini
ASS LES CROCOS CRECHE PARENTAL,Social - Petite enfance,Crèche parentale,1.0,2026-04-20,llm_gemini
ASS LOGEMENT JEUNES TRAVAILLEURS,Logement,Logement pour jeunes travailleurs,1.0,2026-04-20,llm_gemini
ASS MEDIATION USAGE OPTIMAL NUIT,Sécurité,Médiation nocturne et prévention,0.9,2026-04-20,llm_gemini
ASS MIEUX ETRE LOGEMENT ISOLES,Logement,Aide au logement pour personnes isolées,0.85,2026-02-18,llm_claude
ASS MIEUX-ETRE & LOGEMENT ISOLES,Logement,Accès au logement pour personnes isolées,1.0,2026-04-20,llm_gemini
ASS MUSIQUE ET DANSE 20,Culture,Association de musique et danse du 20e arrondissement,0.95,2026-02-18,llm_claude
ASS NAL PREVENTION ALCOOL ADDICTOLO,Santé,Prévention des addictions et alcoologie,1.0,2026-04-20,llm_gemini
ASS PARENT ELEVE JARDIN ENFANT FR A,Social - Petite enfance,Association de parents d'élèves en jardin d'enfants,1.0,2026-04-20,llm_gemini
ASS PARIS AIDE AUX VICTIMES,Social - Solidarité,Aide aux victimes et accès au droit,0.9,2026-04-20,llm_gemini
ASS PARIS ANIMATION CULT ET SPORT,Culture,Animation culturelle et sportive de proximité (dominante culturelle),0.55,2026-02-18,llm_claude
ASS PARIS TOUT-P'TITS,Social - Solidarité,Aide alimentaire et matérielle pour nourrissons,0.95,2026-04-20,llm_gemini
ASS PARRAINS PAR'MILLE,Social - Solidarité,Parrainage et mentorat de la jeunesse,1.0,2026-04-20,llm_gemini
ASS PETITE ENFANCE ET PARENTAL,Social - Petite enfance,Soutien à la parentalité et accueil du jeune enfant,1.0,2026-04-20,llm_gemini
ASS POUR DEVELOPPEMENT SANTE FEMMES,Santé,Accès aux soins pour les femmes,1.0,2026-04-20,llm_gemini
ASS POUR DROIT A L INITIATIVE ECONO,Économie,Microfinance et insertion économique (ADIE),0.95,2026-02-18,llm_claude
ASS PREVENTION ACCUEIL SOUTIEN ET O,Social - Solidarité,Médiation sociale et prévention,0.95,2026-04-20,llm_gemini
ASS PREVENTION ACCUEIL SOUTIEN ORIE,Social - Solidarité,"Prévention, accueil, soutien et orientation des personnes en difficulté",0.9,2026-02-18,llm_claude
ASS PROMO ARTS PLASTIQ URBAINS CONT,Culture,Arts plastiques et art urbain,1.0,2026-04-20,llm_gemini
ASS PUC RUGBY,Sport,Club de rugby (Paris Université Club),0.98,2026-02-18,llm_claude
ASS REGION INSERTION ECONOMIQUE SOC,Économie,Insertion économique et sociale,0.9,2026-04-20,llm_gemini
ASS SAFE,Social - Solidarité,Association SAFE - soutien aux femmes excisées / violences,0.6,2026-02-18,llm_claude
ASS SOUTIEN DU THEATRE PRIVE,Culture,Soutien au spectacle vivant et théâtre privé,1.0,2026-04-20,llm_gemini
ASS TRANSITION NUMERIQUE EDUC,Éducation,Transition numérique et éducation,1.0,2026-04-20,llm_gemini
ASS VOTRE ECOLE CHEZ VOUS,Éducation,Enseignement à domicile pour enfants malades ou handicapés,0.92,2026-02-18,llm_claude
ASS. AMBROISE CROIZAT SANTE,Santé,Centres de santé et offre de soins,1.0,2026-04-20,llm_gemini
ASS. NAT. PREVENT. ALCOOL. ADDICT.,Santé,Prévention des addictions (ANPAA),1.0,2026-04-20,llm_gemini
ASS. ORCHESTRE CONCERTS LAMOUREUX,Culture,Musique classique et orchestre,1.0,2026-04-20,llm_gemini
ASS. OZAR HATORAH PARIS ONZE CRECHE,Social - Petite enfance,Crèche associative,1.0,2026-04-20,llm_gemini
ASSISTANCE PUBLIQUE DES HOPITAUX DE PARIS,Santé,Établissement public hospitalier,1.0,2026-04-20,llm_gemini
ASSISTANCE PUBLIQUE HOPITAUX DE PAR,Santé,Établissement hospitalier (AP-HP),1.0,2026-04-20,llm_gemini
ASSO ACIDULES ET A CROQUER,Social - Petite enfance,Association liée à l'enfance / activités pour enfants,0.55,2026-02-18,llm_claude
ASSO AU SERV DES AUTISTES ET LA PED,Santé,Accompagnement des personnes autistes et pédagogie spécialisée,0.72,2026-02-18,llm_claude
ASSO LOISIRS PLURIEL DE PARIS 6,Social - Solidarité,Inclusion handicap et loisirs,0.95,2026-04-20,llm_gemini
ASSO PRIMO LEVI,Social - Solidarité,Soutien aux victimes de torture et réfugiés,1.0,2026-04-20,llm_gemini
ASSOC CENTRE ALPHA CHOISY,Éducation,Alphabétisation et apprentissage du français - quartier Choisy (13e),0.9,2026-02-18,llm_claude
ASSOC DEVELOPP DE LA DANSE A PARIS,Culture,Association pour le développement de la danse à Paris,0.95,2026-02-18,llm_claude
ASSOC LA PORTE ENTR'OUVERTE,Social - Solidarité,Lieu d'accueil et d'écoute sociale,0.85,2026-04-20,llm_gemini
ASSOC MOSAIQUE L ATELIER DES ENFANT,Éducation,Activités périscolaires et jeunesse,0.85,2026-04-20,llm_gemini
ASSOC NOTRE DAME DE BON SECOURS,Santé,Établissement de santé / centre de soins,0.7,2026-02-18,llm_claude
ASSOC POUR L AIDE AUX MERES DE FAMI,Social - Solidarité,Aide aux mères de famille en difficulté,0.9,2026-02-18,llm_claude
ASSOC PREVENTION SITE VILLETTE,Social - Solidarité,Prévention et médiation sociale,0.9,2026-04-20,llm_gemini
ASSOCIAT POUR L INSTITUT D ETUDES,Éducation,Institut d'études et recherche,0.75,2026-02-18,llm_claude
ASSOCIAT SYNDICALE LIBRE OLYMPIADES,Administration,Association syndicale libre - copropriété Olympiades (13e),0.95,2026-02-18,llm_claude
ASSOCIAT.POUR L INSTITUT D ETUDES,Éducation,Recherche et enseignement supérieur,0.9,2026-04-20,llm_gemini
ASSOCIATION 1000 COLLECTES,Social - Solidarité,Aide alimentaire et collectes solidaires,0.9,2026-04-20,llm_gemini
ASSOCIATION 11 EME EVENEMENTS,Culture,Événements culturels et festifs dans le 11e arrondissement,0.55,2026-02-18,llm_claude
ASSOCIATION ACIDULES ET A CROQUER,Social - Petite enfance,Association dédiée aux enfants / activités petite enfance,0.55,2026-02-18,llm_claude
ASSOCIATION ACTION SOCIALE EN FAVEUR DES PERSONNELS DE LA VILLE DE PARIS ET DU DEPARTEMENT DE PARIS,Social - Solidarité,Action sociale pour les personnels de la Ville de Paris,0.9,2026-02-18,llm_claude
ASSOCIATION AMBROISE CROIZAT,Santé,Gestion de centres de santé et protection sociale,0.95,2026-04-20,llm_gemini
ASSOCIATION ARTHUR ET MARINE,Social - Solidarité,Association d'aide aux enfants malades ou en situation de handicap,0.65,2026-02-18,llm_claude
ASSOCIATION ARTISTIQUE CONCERT COLONNE,Culture,Musique classique et orchestre,1.0,2026-04-20,llm_gemini
ASSOCIATION ATD QUART MONDE,Social - Solidarité,Lutte contre la grande pauvreté et l'exclusion sociale,0.98,2026-02-18,llm_claude
ASSOCIATION AU RENDEZ VOUS BOUT'CHOU,Social - Petite enfance,Petite enfance,1.0,2026-04-20,llm_gemini
ASSOCIATION AURORE,Social - Solidarité,Réinsertion sociale et hébergement,1.0,2026-04-20,llm_gemini
ASSOCIATION AUTREMONDE,Social - Solidarité,Aide aux personnes en situation d'exclusion et réfugiés,0.9,2026-02-18,llm_claude
ASSOCIATION BELLEVILLE CITOYENNE,Social - Solidarité,Association citoyenne de quartier - lien social,0.7,2026-02-18,llm_claude
ASSOCIATION CENTRE ALPHA CHOISY,Éducation,Alphabétisation et apprentissage du français,0.9,2026-02-18,llm_claude
ASSOCIATION CHARONNE,Santé,Prévention des addictions,0.95,2026-04-20,llm_gemini
ASSOCIATION CITE-THEATRE,Culture,Théâtre,1.0,2026-04-20,llm_gemini
ASSOCIATION CONCERTS PASDELOUP,Culture,Musique symphonique,1.0,2026-04-20,llm_gemini
ASSOCIATION COUP DE MAIN,Social - Solidarité,Insertion par l'activité économique,1.0,2026-04-20,llm_gemini
ASSOCIATION CRECHE AVENIR,Social - Petite enfance,Crèche associative,0.99,2026-02-18,llm_claude
ASSOCIATION CRECHE GAN ESTHER,Social - Petite enfance,Crèche,1.0,2026-04-20,llm_gemini
ASSOCIATION CULTURE 2 +,Culture,Activités culturelles,1.0,2026-04-20,llm_gemini
ASSOCIATION DE LA FONDATION ETUDIANTE POUR LA VILLE,Éducation,Accompagnement scolaire et engagement étudiant (AFEV),1.0,2026-04-20,llm_gemini
ASSOCIATION DE MEDIATION POUR UN USAGE OPTIMAL DE LA NUIT LES PIERROTS DE LA NUIT,Sécurité,Médiation nocturne et prévention des nuisances,0.9,2026-04-20,llm_gemini
ASSOCIATION DE SOUTIEN A FOND,Social - Solidarité,Association de soutien / solidarité (nom tronqué),0.5,2026-02-18,llm_claude
ASSOCIATION DE SOUTIEN A FOND.,Culture,Soutien au patrimoine et à la mémoire,0.7,2026-04-20,llm_gemini
ASSOCIATION DEDALE,Culture,Art numérique et création contemporaine,0.75,2026-02-18,llm_claude
ASSOCIATION DEPARTEMENTALE INFORMATION LOGE,Logement,Information et conseil juridique sur le logement (ADIL),1.0,2026-04-20,llm_gemini
ASSOCIATION DES CINEMAS INDEPENDANTS,Culture,Cinéma indépendant,1.0,2026-04-20,llm_gemini
ASSOCIATION DES CITES DU SECOURS CATHOLIQUE,Social - Solidarité,Hébergement d'urgence et insertion sociale,1.0,2026-04-20,llm_gemini
ASSOCIATION DES ORGANISATIONS SYNDICALES DE LA BOURSE DU TRAVAIL DE PARIS,Administration,Syndicats et Bourse du travail,1.0,2026-04-20,llm_gemini
ASSOCIATION DEVELOPP DE LA DANSE A PARIS,Culture,Développement de la danse,0.95,2026-02-18,llm_claude
ASSOCIATION DROIT A L INITIATIVE ECONOMIQUE,Économie,Microcrédit et aide à la création d'entreprise,1.0,2026-04-20,llm_gemini
ASSOCIATION DU STADE FRANCAIS,Sport,Club sportif omnisports (Stade Français),0.97,2026-02-18,llm_claude
ASSOCIATION DYNAMO,Social - Solidarité,Médiation sociale et insertion,0.7,2026-04-20,llm_gemini
ASSOCIATION ECOLE SCHOOL FOR TODAY,Éducation,Établissement scolaire,1.0,2026-04-20,llm_gemini
ASSOCIATION ESPACE,Social - Solidarité,Animation locale et centres sociaux (Espace 19),0.85,2026-04-20,llm_gemini
ASSOCIATION ESPACES,Environnement,Association Espaces – insertion par l'écologie urbaine et jardins,0.7,2026-02-18,llm_claude
ASSOCIATION ESTRELIA,Social - Petite enfance,Soutien à la parentalité et accueil des jeunes enfants,0.95,2026-04-20,llm_gemini
ASSOCIATION FAMILLE CATHOLIQUE,Social - Petite enfance,Soutien à la parentalité et aux familles,0.9,2026-04-20,llm_gemini
ASSOCIATION FLORIMONT,Social - Solidarité,Association de quartier / solidarité locale,0.5,2026-02-18,llm_claude
ASSOCIATION FONDATION ETUDIANTE POUR LA VIL,Éducation,Accompagnement scolaire et engagement étudiant (AFEV),1.0,2026-04-20,llm_gemini
ASSOCIATION FRANCOIS XAVIER BAGNOUD,International,Association François-Xavier Bagnoud - aide humanitaire internationale et droits de l'enfant,0.8,2026-02-18,llm_claude
ASSOCIATION GAN YAEL CRECHE JARDIN ENF,Social - Petite enfance,Crèche et jardin d'enfants,0.97,2026-02-18,llm_claude
ASSOCIATION GAN YOSSEF CR JARDIN D ENFANTS,Social - Petite enfance,Crèche et jardin d'enfants,1.0,2026-04-20,llm_gemini
ASSOCIATION GAN YOSSEF CRECHE JARDIN D ENFA,Social - Petite enfance,Crèche et jardin d'enfants,1.0,2026-04-20,llm_gemini
ASSOCIATION GENERALE DES FAMILLES,Social - Petite enfance,Soutien à la parentalité et aux familles,0.9,2026-04-20,llm_gemini
ASSOCIATION GESTION  LOCAL INTERASSOCIATIONSOCIATIF,Social,Gestion de locaux inter-associatifs,0.8,2026-04-20,llm_gemini
ASSOCIATION GESTION CENTRE ANIMATION CULTUR,Culture,Gestion de centre d'animation culturelle,0.9,2026-02-18,llm_claude
ASSOCIATION GESTION RESEAU MESUR POLLUT ATM,Environnement,Surveillance de la qualité de l'air,1.0,2026-04-20,llm_gemini
ASSOCIATION HALLE SAINT PIERRE,Culture,Musée et centre d'art (Art Brut),1.0,2026-04-20,llm_gemini
ASSOCIATION HALLE ST PIERRE,Culture,Musée et centre culturel (Art Brut),1.0,2026-04-20,llm_gemini
ASSOCIATION INCUBATEUR PARIS BIOTECH,Économie,Incubateur de startups et biotechnologies,1.0,2026-04-20,llm_gemini
ASSOCIATION INSTITUT D ETUDES AVANCEES DE PARIS,Éducation,Recherche et institut d'études supérieures,1.0,2026-04-20,llm_gemini
ASSOCIATION INTERNATIONALE MAIRES FRANCOPHO,International,Coopération francophone et diplomatie territoriale,1.0,2026-04-20,llm_gemini
ASSOCIATION JEUNESSE LOUBAVITCH,Éducation,Mouvement de jeunesse et éducation,0.9,2026-04-20,llm_gemini
ASSOCIATION JUDO AMICALE PARIS XX,Sport,Club de Judo,1.0,2026-04-20,llm_gemini
ASSOCIATION L ILE AUX LANGUE,Éducation,Apprentissage des langues,0.8,2026-02-18,llm_claude
ASSOCIATION L INST D ETUDES AVANCEES - PARI,Éducation,Recherche et études supérieures,1.0,2026-04-20,llm_gemini
ASSOCIATION L INST D ETUDES AVANCEES PARI,Éducation,Recherche - Institut d'Études Avancées de Paris,0.93,2026-02-18,llm_claude
ASSOCIATION L'ETAPE - PARCOURS LOGE JEUNES,Logement,Accès au logement pour les jeunes,1.0,2026-04-20,llm_gemini
