label_fr,label_en
Cour nationale du droit d'asile,National Court of Asylum
Création,Artistic creation
Cultes et laïcité,Religious affairs and secularism
Culture,Culture
Dette,Debt
Developpement des techniques d’enquetes numeriques judiciaires,Development of digital forensic investigation techniques
Dialogue social et démocratie sociale,Social dialogue and workplace democracy
Diffusion des savoirs et musées,Dissemination of knowledge and museums
"Diffusion, valorisation et transfert des connaissances et des technologies","Dissemination, promotion and transfer of knowledge and technologies"
Diplomatie culturelle et d'influence,Cultural diplomacy and influence
Diplomatie économique et attractivité,Economic diplomacy and attractiveness
Dispositifs spécifiques de scolarisation,Specific schooling arrangements
Dispositions sociales pour les consommateurs en situation de précarité énergétique,Social measures for consumers in energy poverty
Dissuasion,Deterrence
Dotation de soutien à l'investissement local exceptionnelle,Exceptional local investment support grant
Dotation générale de décentralisation concours particuliers,"General decentralisation grant, specific allocations"
Dotation générale de décentralisation des communes,General decentralisation grant for municipalities
Dotation générale de décentralisation des départements,General decentralisation grant for departments
Dotation générale de décentralisation des régions,General decentralisation grant for regions
Dotations Outre-Mer,Overseas territories grants
Défenseur des droits,Defender of Rights
"Définition et mise en oeuvre de la politique économique et financière de la France dans le cadre national, international et européen","Definition and implementation of France's economic and financial policy in the national, international and European framework"
Démarches interministérielles et communication,Interministerial initiatives and communication
Démonstrateurs et territoires d'innovation de grande ambition,Demonstrators and high-ambition innovation territories
"Démonstration en conditions réelles, amorçage et premières commerciales","Real-world demonstration, seed funding and first commercial deployments"
Dépenses accidentelles et imprévisibles,Accidental and unforeseeable expenditure
"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""","Personnel expenditure contributing to the ""Cultural diplomacy and influence"" programme"
"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""","Personnel expenditure contributing to the ""Solidarity with developing countries"" programme"
Dépenses immobilières de l'administration territoriale,Property expenditure of the territorial administration
Développement de l'accès au droit et du réseau judiciaire de proximité,Development of access to law and the local justice network
Développement de la technologie spatiale au service de l'observation de la terre,Development of space technology for Earth observation
Développement de la technologie spatiale au service de la recherche en sciences de l'information et de la communication,Development of space technology for research in information and communication sciences
Développement de la technologie spatiale au service de la science,Development of space technology for science
Développement de la vie associative,Development of the voluntary sector
Développement des compétences par l'alternance,Skills development through work-study training
Développement des entreprises et régulations,Business development and regulation
"Développement des postes, des télécommunications et du numérique","Development of postal services, telecommunications and digital technology"
Développement des satellites de météorologie,Development of meteorological satellites
Développement du service civique,Development of civic service
Développement du sport de haut niveau,Development of elite sport
Développement international de l'économie française,International development of the French economy
Développement international des entreprises et attractivité du territoire,International development of businesses and territorial attractiveness
Développement touristique,Tourism development
Eau - Agriculture en Bretagne,Water and agriculture in Brittany
Elimination des cadavres et des sous-produits animaux,Disposal of animal carcasses and by-products
Emploi outre-mer,Employment in the overseas territories
Emplois et formations maritimes,Maritime employment and training
Engagement et combat,Engagement and combat
Enregistrement des décisions judiciaires,Registration of judicial decisions
Enseignement du premier degré,Primary education
Enseignement du second degré,Secondary education
Enseignement privé du premier et du second degrés,Private primary and secondary education
Enseignement pré-élémentaire,Pre-primary education
Enseignement scolaire public du premier degré,Public primary school education
Enseignement scolaire public du second degré,Public secondary school education
Enseignement supérieur,Higher education
Enseignement supérieur et recherche,Higher education and research
Enseignement supérieur et recherche agricoles,Agricultural higher education and research
"Enseignement supérieur, professionnel et continu","Higher, vocational and continuing education"
Enseignement technique agricole,Agricultural technical education
Environnement et prospective de la politique de défense,Defence policy environment and foresight
"Equipements de vidéo-protection et de surveillance électronique du ministère de l'intérieur, des collectivités et des acteurs privés","Video protection and electronic surveillance equipment of the Ministry of the Interior, local authorities and private actors"
Etudes,Studies
Etudes et expertise en matière de développement durable,Studies and expertise on sustainable development
"Etudes, statistiques, évaluation et recherche","Studies, statistics, evaluation and research"
Evaluation des politiques publiques,Evaluation of public policies
Examen des comptes publics,Examination of public accounts
Exercice des missions militaires,Performance of military missions
Expertise juridique,Legal expertise
"Expertise, audit, évaluation et contrôle","Expertise, audit, evaluation and oversight"
"Expertise, conseil et inspection","Expertise, advice and inspection"
"Expertise, information géographique et météorologie","Expertise, geographic information and meteorology"
FNADT section générale,FNADT general section
FNADT section locale,FNADT local section
Facilitation et sécurisation des échanges,Facilitation and security of trade
Ferroviaire,Rail
Financement de l'économie,Financing of the economy
Financement des agences régionales de santé,Funding of regional health agencies
Financement des entreprises et industrie,Financing of businesses and industry
Financement des investissements stratégiques,Financing of strategic investments
Financement des partis,Funding of political parties
Financement des structures de la formation professionnelle et de l'emploi,Funding of vocational training and employment bodies
Financement structurel des écosystèmes d'innovation,Structural funding of innovation ecosystems
Financements de l'écosystème ESRI et valorisation,"Funding of the higher education, research and innovation ecosystem and knowledge transfer"
Fiscalité des PME,Taxation of SMEs
Fiscalité des grandes entreprises,Taxation of large companies
Fiscalité des particuliers et fiscalité directe locale,Personal taxation and local direct taxation
"Fiscalité douanière, énergétique et environnementale","Customs, energy and environmental taxation"
Foires et marchés,Fairs and markets
Fonction consultative,Advisory function
Fonction juridictionnelle : Conseil d'État,Judicial function: Conseil d'État
Fonction juridictionnelle : Cours administratives d'appel,Judicial function: administrative courts of appeal
Fonction juridictionnelle : Tribunaux administratifs,Judicial function: administrative courts
Fonction publique,Civil service
"Fonction études, expertise et services rendus aux administrations de l'État et des collectivités","Studies, expertise and services provided to State and local authority administrations"
Fonctionnement courant de l'administration territoriale,Day-to-day operations of territorial administration
Fonctionnement des services,Operation of services
Fonctionnement des établissements,Operation of institutions
"Fonctionnement, soutien et logistique","Operations, support and logistics"
Fonctions de soutien du ministère,Ministry support functions
Fonctions support,Support functions
Fonctions supports à l'institution,Support functions for the institution
Fonds d'accélération de la transition écologique dans les territoires,Fund for accelerating the ecological transition in local areas
Fonds d'indemnisation des victimes de l'amiante,Asbestos victims compensation fund
Fonds de prévention des risques naturels majeurs,Major natural risk prevention fund
Fonds de solidarité pour le développement,Solidarity fund for development
Fonds de soutien relatif aux prêts et contrats financiers structurés à risque,Support fund for risky structured loans and financial contracts
Fonds exceptionnel d'investissement,Exceptional investment fund
Fonds interministériel de prévention de la délinquance,Interministerial crime prevention fund
Fonds interministériel pour la transformation de la Guyane,Interministerial fund for the transformation of French Guiana
"Fonds national post-maturation ""Frontier venture""","""Frontier venture"" national post-maturation fund"
Fonds pour la transformation de l'action publique,Fund for the transformation of public administration
Formation,Training
Formation des fonctionnaires,Training of civil servants
Formation des personnels enseignants,Training of teaching staff
Formation des personnels enseignants et d'orientation,Training of teaching and guidance staff
Formation professionnelle des demandeurs d'emploi,Vocational training for jobseekers
Formations supérieures et recherche universitaire,Higher education programmes and university research
France Media Monde,France Media Monde
France Médias Monde,France Médias Monde
France Télévisions,France Télévisions
Français à l'étranger et affaires consulaires,French nationals abroad and consular affairs
Garantie de l'exercice du droit d'asile,Guaranteeing the exercise of the right to asylum
Garde et contrôle des personnes placées sous main de justice,Custody and supervision of persons under the authority of the justice system
Gendarmerie nationale,National gendarmerie
Gestion de l'administration centrale,Management of central administration
"Gestion de l'après-mine et travaux de mise en sécurité, indemnisations et expropriations sur les sites","Post-mining management and site safety works, compensation and expropriations"
Gestion des crises et des aléas de la production agricole,Management of crises and hazards in agricultural production
Gestion des fonds déposés,Management of deposited funds
Gestion des milieux et biodiversité,Management of natural environments and biodiversity
Gestion des pensions,Pension management
Gestion durable de la forêt et développement de la filière bois,Sustainable forest management and development of the timber sector
Gestion financière de l'État hors fiscalité,Financial management of the State excluding taxation
Gestion financière du secteur public local hors fiscalité,Financial management of the local public sector excluding taxation
Gestion fiscale et financière de l'État et du secteur public local,Tax and financial management of the State and the local public sector
Gestion économique et sociale de l'après-mines,Economic and social management of post-mining areas
Gestion équilibrée et durable des territoires,Balanced and sustainable territorial management
Gouvernance des Finances publiques,Governance of public finances
"Gouvernance, évaluation, études et prospective en matière de développement durable","Governance, evaluation, studies and foresight on sustainable development"
Grandes infrastructures de recherche,Major research infrastructures
Grands défis,Grand challenges
Habitat,Housing
Handicap et dépendance,Disability and dependency
Haute autorité pour la transparence de la vie publique,High Authority for Transparency in Public Life
Hygiène et salubrité publique,Public hygiene and sanitation
Hébergement et restauration scolaires,School boarding and meals
"Hébergement, parcours vers le logement et insertion des personnes vulnérables","Emergency shelter, pathways to housing and social inclusion of vulnerable people"
Immigration et asile,Immigration and asylum
"Immigration, asile et intégration","Immigration, asylum and integration"
Immobilier,Real estate
Impulsion et coordination de la politique d'aménagement du territoire,Impetus and coordination of regional planning policy
Incendie et secours,Fire and rescue
Inclusion numérique,Digital inclusion
Inclusion scolaire des élèves en situation de handicap,School inclusion of pupils with disabilities
Inclusion sociale et protection des personnes,Social inclusion and protection of persons
Indemnisation des avoués,Compensation of court solicitors (avoués)
Indemnisation des demandeurs d'emploi,Compensation of jobseekers
Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation,Compensation for orphans of deportation and victims of dispossession under antisemitic legislation in force during the Occupation
Indemnisation des victimes d'actes de barbarie durant la seconde guerre mondiale,Compensation for victims of acts of barbarity during the Second World War
Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale,Compensation for victims of antisemitic persecution and acts of barbarity during the Second World War
Industrialisation et déploiement,Industrialisation and deployment
Industrie et services,Industry and services
"Industrie, commerce et artisanat","Industry, commerce and crafts"
Industries culturelles,Cultural industries
Information des citoyens,Citizen information
Information et orientation,Information and guidance
Information géographique et cartographique,Geographic and cartographic information
Information relative au logement et accompagnement des publics en difficulté,Housing information and support for people in difficulty
"Information économique, démographique et sociale","Economic, demographic and social information"
Infrastructures de transport,Transport infrastructure
"Infrastructures de transport (gares, ports etc.)","Transport infrastructure (stations, ports, etc.)"
Infrastructures et mobilité vertes,Green infrastructure and mobility
Infrastructures et services de transports,Transport infrastructure and services
Infrastructures statistiques et missions régaliennes,Statistical infrastructure and sovereign missions
"Ingénierie, outils de la gouvernance et expérimentations","Engineering, governance tools and experimentation"
Innovation et flotte de commerce,Innovation and the merchant fleet
"Innovation, territorialisation et contentieux","Innovation, territorial deployment and litigation"
"Innovation, territorialisation et services numériques","Innovation, territorial deployment and digital services"
Insertion des jeunes sur le marché du travail- Contrat d'engagement jeunes (CEJ),Integration of young people into the labour market – Youth engagement contract (CEJ)
Insertion économique et coopération régionales,Regional economic integration and cooperation
Institut national de l'audiovisuel,National audiovisual institute
Institut national de l'environnement industriel et des risques (INERIS),National institute for industrial environment and risks (INERIS)
Instruction des demandes de visa,Processing of visa applications
Instruments de financement du logement,Housing finance instruments
Interventions territoriales de l'État,State territorial interventions
Intégration des étrangers primo-arrivants,Integration of newly arrived foreign nationals
Intégration et accès à la nationalité française,Integration and access to French nationality
Jardin du Luxembourg,Jardin du Luxembourg
Jeunesse et loisirs,Youth and leisure
Jeunesse et vie associative,Youth and community life
Jeux olympiques et paralympiques 2024,2024 Olympic and Paralympic Games
"Journée défense et citoyenneté - Personnel travaillant pour le programme ""Reconnaissance et réparation en faveur du monde combattant""","Defence and citizenship day – Staff working for the ""Recognition and reparation for the veterans' community"" programme"
Justice,Justice
Justice judiciaire,Judicial services
La Chaîne parlementaire,La Chaîne parlementaire
La Chaîne parlementaire - Assemblée nationale,La Chaîne parlementaire – National Assembly
Langue française et langues de France,French language and languages of France
Liens armées-jeunesse,Armed forces-youth links
Livre et industries culturelles,Books and cultural industries
Livre et lecture,Books and reading
Logistique et soutien interarmées,Joint logistics and support
"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""","Joint logistics and support – Staff working for the ""Preparation and employment of forces"" programme"
"Logistique, système d'information, immobilier","Logistics, information systems and real estate"
Lutte contre l'habitat indigne,Combating substandard housing
Lutte contre l'immigration irrégulière,Combating irregular immigration
Lutte contre le changement climatique et pour la qualité de l'air,Combating climate change and improving air quality
"Lutte contre les maladies animales, protection et bien-être animal","Combating animal diseases, animal protection and welfare"
"Maturation de technologies, R&D, valorisation de la recherche","Technology maturation, R&D and research commercialisation"
Maîtrise de l'accès à l'espace,Ensuring access to space
Maîtrise des technologies orbitales et de l'innovation technologique,Mastery of orbital technologies and technological innovation
Mesures exceptionnelles dans le cadre de la crise sanitaire,Exceptional measures in response to the health crisis
Mesures exceptionnelles de protection des consommateurs,Exceptional consumer protection measures
Mise en jeu de la responsabilité des comptables publics et des gestionnaires publics,Liability proceedings against public accountants and public managers
Mise en oeuvre de l'enseignement dans les établissements publics,Delivery of teaching in public schools
Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation,Implementation of the food safety and quality policy
Mise en oeuvre des décisions judiciaires,Enforcement of judicial decisions
Mise en oeuvre des enseignements dans les établissements privés,Delivery of teaching in private schools
Mise en oeuvre du droit de la concurrence (Autorité de la concurrence),Enforcement of competition law (Competition Authority)
Mise en œuvre de l'enseignement agricole dans les territoires,Delivery of agricultural education across the territories
"Mise à niveau numérique de l'État, des territoires et des entreprises – modernisation des administrations régaliennes","Digital upgrading of the State, territories and businesses – modernisation of sovereign administrations"
Mission interministérielle de lutte contre les drogues et les conduites addictives,Interministerial mission for combating drugs and addictive behaviours
Missions de police judiciaire et concours à la justice,Criminal investigation duties and support to the justice system
Mobilisation des outils du renseignement au service des missions douanières,Use of intelligence tools in support of customs missions
Modernisation de l'offre de soins,Modernisation of healthcare provision
Monuments Historiques et patrimoine monumental,Historic monuments and monumental heritage
Moyens communs,Shared resources
Moyens communs à l'enseignement technique agricole (public et privé),Shared resources for agricultural technical education (public and private)
Moyens de l'administration centrale,Central administration resources
Moyens de mise en oeuvre des politiques publiques et gestion des interventions,Resources for implementing public policies and managing interventions
"Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer)","Resources of the regional directorates for food, agriculture and forestry, the directorates for food, agriculture and forestry, and the departmental directorates for territories (and the sea)"
Moyens généraux et d'appui à la recherche,General resources and research support
Médiation et espaces de rencontre,Mediation and supervised contact centres
Météorologie,Meteorology
Nouveaux cursus à l'université,New university curricula
Numérique,Digital
Objectifs de développement durable,Sustainable development goals
"Observation, prospective, réglementation et soutien au programme","Observation, foresight, regulation and programme support"
Offre d'un service public de qualité aux Français à l'étranger,Providing quality public services to French nationals abroad
Opérations non ventilables,Non-allocable operations
Ordre de la Légion d'honneur,Order of the Légion d'honneur
Ordre et sécurité publics,Public order and safety
Ordre public et protection de la souveraineté,Public order and protection of sovereignty
Organisation des élections,Organisation of elections
Organismes de formation supérieure et de recherche,Higher education and research bodies
"PMI, droits et soutien aux invalides","Military invalidity pensions, rights and support for disabled veterans"
Pacte des Solidarités,Solidarity pact
Patrimoine archivistique,Archival heritage
Patrimoine archéologique,Archaeological heritage
Patrimoine des musées de France,Heritage of the Musées de France
Patrimoines,Heritage
"Paysages, eau et biodiversité","Landscapes, water and biodiversity"
Performance environnementale,Environmental performance
Performance et résilience des bâtiments de l'État et de ses opérateurs,Performance and resilience of buildings of the State and its operators
"Personnel concourant à l'action ""Instruction des demandes de visa""","Staff contributing to the ""Processing of visa applications"" action"
"Personnel concourant à l'action ""Offre d'un service public de qualité aux français à l'étranger""","Staff contributing to the ""Providing quality public services to French nationals abroad"" action"
Personnels en situations diverses,Staff in miscellaneous situations
Personnels mettant en œuvre les politiques d'amélioration de la qualité de l'emploi et des relations du travail,Staff implementing policies to improve job quality and labour relations
Personnels mettant en œuvre les politiques de l'emploi et de la formation professionnelle,Staff implementing employment and vocational training policies
Personnels mettant en œuvre les politiques de l'égalité entre les femmes et les hommes,Staff implementing gender equality policies
Personnels mettant en œuvre les politiques sociales et de la santé,Staff implementing social and health policies
"Personnels oeuvrant pour les politiques du programme ""Affaires maritimes""","Staff working on the policies of the ""Maritime affairs"" programme"
Personnels transférés aux collectivités territoriales,Staff transferred to local authorities
Personnels transversaux et de soutien,Cross-cutting and support staff
Personnels œuvrant dans le domaine de la stratégie et de la connaissance des politiques de transition écologique,Staff working on strategy and knowledge for ecological transition policies
Personnels œuvrant pour la politique de l'eau et de la biodiversité,Staff working on water and biodiversity policy
Personnels œuvrant pour la politique de la prévention des risques,Staff working on risk prevention policy
Personnels œuvrant pour la politique en matière de sûreté nucléaire et radio-protection,Staff working on nuclear safety and radiation protection policy
Personnels œuvrant pour les politiques de l'énergie et du climat,Staff working on energy and climate policies
Personnels œuvrant pour les politiques de transport,Staff working on transport policies
"Personnels œuvrant pour les politiques du programme Urbanisme, territoires et aménagement de l'habitat","Staff working on the policies of the Urban planning, territories and housing development programme"
Personnes dépendantes (APA),Dependent persons (APA)
Pilotage de la politique de santé publique,Steering of public health policy
Pilotage des actions de modernisation (DITP),Steering of modernisation initiatives (DITP)
Pilotage des finances publiques et projets interministériels,Steering of public finances and interministerial projects
Pilotage des politiques des outre-mer,Steering of overseas territories policies
Pilotage du programme et animation des politiques inclusives,Programme steering and coordination of inclusion policies
Pilotage et animation,Steering and coordination
Pilotage et animation du programme,Programme steering and coordination
Pilotage et mise en oeuvre des politiques éducatives,Steering and implementation of education policies
"Pilotage et mise œuvre des politiques du sport, de la jeunesse, de l'éducation populaire et de la vie associative","Steering and implementation of policies for sport, youth, community education and civil society organisations"
Pilotage et soutien des juridictions financières,Steering and support of the financial courts
Pilotage et support du programme,Programme steering and support
Pilotage territorial des politiques gouvernementales,Territorial steering of government policies
"Pilotage, administration et encadrement pédagogique","Steering, administration and pedagogical supervision"
"Pilotage, soutien  -  Personnel travaillant pour l'action "" Pilotage, soutien ""","Steering, support - Staff working for the ""Steering, support"" action"
"Pilotage, soutien et communication","Steering, support and communication"
"Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH","Steering, support and communication - staff expenditure of ministerial offices and attached bodies / HR"
"Pilotage, soutien et formation initiale","Steering, support and initial training"
"Pilotage, support, audit et évaluations","Steering, support, audit and evaluations"
Plan France Très haut débit,France very high-speed broadband plan
Plan Sargasses II,Sargassum plan II
Plan littoral 21,Littoral 21 coastal plan
Planification  des moyens et conduite des opérations,Resource planning and conduct of operations
